DATE,POPTHM,GDP,InterestRateRealEstate,MORTGAGE15US,UMCSENT,MSPUS,CSUSHPISA
2020-10-01,332045.0,21704.706,307410.0,2.2885714285714287,79.8,358700.0,233.19133333333332
2021-01-01,331989.0,22313.85,311309.0,2.276666666666667,80.23333333333333,369800.0,242.287
2021-04-01,332149.3333333333,23046.934,319986.0,2.3092307692307688,85.56666666666666,382600.0,253.658
2021-07-01,332480.3333333333,23550.42,343543.0,2.1714285714285717,74.76666666666665,411200.0,266.828
2021-10-01,332786.0,24349.121,356668.0,2.3384615384615386,69.9,423600.0,277.4936666666666
2022-01-01,332977.6666666666,24740.48,348208.0,3.0446153846153847,63.133333333333326,433100.0,290.92466666666667
2022-04-01,333320.3333333333,25248.476,346646.0,4.4507692307692315,57.86666666666667,449300.0,303.1153333333333
2022-07-01,333799.6666666666,25723.941,352401.0,4.880769230769231,56.1,468000.0,301.7296666666666
2022-10-01,334282.6666666666,26137.992,351240.0,5.959230769230769,58.8,479500.0,298.146
2023-01-01,334641.0,26529.774,350803.0,5.564615384615385,64.63333333333333,429000.0,297.25633333333326
